,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,0.0034715165
1,80099,-0.1249552021170332,0.0,0.0005781518
2,80100,0.4979932028913158,0.0002266506,0.0
3,80101,1.072193596541135,0.0037687046,0.0
4,80102,1.5414381287473036,0.003245045,0.0
5,80103,1.8597929641568645,0.0,0.0010021859
6,80104,1.9960946952466119,0.00028700108,0.0
7,80105,1.937000894259923,0.0049322583,0.0
8,80106,1.688296188905658,0.0006724678,0.0
9,80107,1.2743260114724995,0.0007322913,0.0
10,80108,0.7356134509921568,0.0,0.001476868
11,80109,0.12489249231761931,0.00014504732,0.0
12,80110,-0.4980540561713235,0.0,0.0013265789
13,80111,-1.0722466364673517,0.0,0.0026964126
14,80112,-1.5414781632804864,0.0,0.009428682
15,80113,-1.859816074363702,0.0,0.009573153
16,80114,-1.9960986188997132,0.0,0.011390402
17,80115,-1.9369852472754385,0.0,0.016170477
18,80116,-1.688262502950737,0.0,0.01074072
19,80117,-1.274277584017304,0.0,0.003988626
20,80118,-0.7355550225687775,0.0,0.00043538696
21,80119,-0.12482978240220076,0.0,0.00021502168
22,80120,0.4981149089738551,0.0003437121,0.0
23,80121,-0.7953673370366583,0.0,0.0006938739
24,80122,5.817599904378415,0.012903029,0.0
25,80123,-0.5131524589185845,0.0011096677,0.0
26,80124,1.2831727667025308,0.0,0.0016244564
27,80125,2.4640294502442197,0.0,0.005270969
28,80126,1.1108602661721187,0.0,0.000610051
29,80127,0.5393616871869531,0.0,0.0005144252
30,80128,0.7354965934058879,0.0011629196,0.0
31,80129,0.12476707237083946,0.00048807115,0.0
32,80130,-0.49817576127066376,0.0,0.0018379343
33,80131,-1.0723527131325903,0.0,0.0014993324
34,80132,-1.541558227777952,0.0,0.015174926
35,80133,-1.8598622892759018,0.0,0.009209209
36,80134,-1.9961064602946739,0.0,0.012312226
37,80135,-1.9369539475675626,0.0,0.012227259
38,80136,-1.6881951260303805,0.0,0.00638933
39,80137,-1.2741807253507242,0.0,0.0041250195
40,80138,-0.7354381635306099,0.0,0.0021561692
41,80139,-0.12470436220181197,0.0,8.2849176e-05
42,80140,0.4982366130828295,0.0017441214,0.0
43,80141,1.0724057498715078,0.0016911877,0.0
44,80142,1.5415982577514267,0.001594195,0.0
45,80143,1.859885393978542,0.0,0.0018674006
46,80144,1.9961103780365261,0.0,0.004085878
47,80145,1.9369382948442015,0.0016992746,0.0
48,80146,1.688161435076715,0.0,0.0054126345
49,80147,1.2741322941282198,0.0,0.0029658105
50,80148,0.7353797329159366,0.0,0.0005978433
51,80149,0.12464165192422733,0.0002212914,0.0
52,80150,-0.49829746440324557,0.0,0.0019104114
53,80151,-1.0724587855581238,0.0,0.005121266
54,80152,-1.5416382861941036,0.0,0.0030434506
55,80153,-1.8599084968481876,0.0,0.008061765
56,80154,-1.9961142938087109,0.0,0.008258815
57,80155,-1.936922640212746,0.0,0.017510254
58,80156,-1.6881277424490644,0.0,0.002113958
59,80157,-1.274083861648172,0.0,0.003705187
60,80158,-0.7353213015889907,0.00032865585,0.0
61,80159,-0.12457894150910022,8.7092805e-05,0.0
62,80160,0.4983583152318519,0.0,0.0007839078
63,80161,1.0725118201862442,0.0018616817,0.0
64,80162,1.5416783131152145,0.0018090649,0.0
65,80163,1.8599315978767899,0.0010220753,0.0
66,80164,1.9961182076107704,0.0,0.0001602412
67,80165,1.9369069836677735,0.0,0.002441599
68,80166,1.6880940481630684,0.0,0.00217982
69,80167,1.2740354279106287,0.0,0.0005102998
70,80168,0.7352628695295309,0.0,0.001138557
71,80169,0.12451623098553982,0.0001753849,0.0
72,80170,-0.49841916557563487,0.0,0.00073118205
73,80171,-1.0725648537558168,0.00018433476,0.0
74,80172,-1.5417183385239894,0.0,0.008270624
75,80173,-1.8599546970750265,0.0,0.014572729
76,80174,-1.9961221194427006,0.0035958772,0.0
77,80175,-1.9368913252111122,0.0,0.004846642
78,80176,-1.6880603522109576,0.0,0.0044029676
79,80177,-1.2739869929156376,0.0002372581,0.0
80,80178,-0.7352044367443812,0.0,0.0006511479
81,80179,-0.1244535203390844,0.00031073563,0.0
82,80180,0.4984800154133952,0.0,0.0006634743
83,80181,1.0726178862667888,0.0029482695,0.0
84,80182,1.5417583624064837,0.0014136713,0.0
85,80183,1.8599777944321751,0.0,0.0031314085
86,80184,1.9961260293044978,0.0,0.0022213534
87,80185,1.9368756648427774,0.0014152848,0.0
88,80186,1.6880266545849605,0.0,0.0018067489
89,80187,1.2739385566688557,0.0,0.00041205523
90,80188,0.7351460032335992,0.0006043753,0.0
91,80189,0.1243908095552721,0.00029843362,0.0
92,80190,-0.4985408647591657,0.0,0.0030047523
93,80191,-1.0726709177191085,0.0,0.004156145
94,80192,-1.5417983847672931,0.0,0.014117139
95,80193,-1.8600008899535627,0.0,1.0
