,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,0.03579966
1,80099,-0.1249552021170332,0.0,0.0034141676
2,80100,0.4979932028913158,0.03450105,0.0
3,80101,1.072193596541135,0.06672576,0.0
4,80102,1.5414381287473036,0.09272036,0.0
5,80103,1.8597929641568645,0.056316398,0.0
6,80104,1.9960946952466119,0.01543364,0.0
7,80105,1.937000894259923,0.042785306,0.0
8,80106,1.688296188905658,0.0,0.029766783
9,80107,1.2743260114724995,0.017814236,0.0
10,80108,0.7356134509921568,0.0,0.0052727642
11,80109,0.12489249231761931,0.0023286527,0.0
12,80110,-0.4980540561713235,0.009574157,0.0
13,80111,-1.0722466364673517,0.024683772,0.0
14,80112,-1.5414781632804864,0.104231276,0.0
15,80113,-1.859816074363702,0.0,0.0073937858
16,80114,-1.9960986188997132,0.0,0.06212736
17,80115,-1.9369852472754385,0.0,0.059294414
18,80116,-1.688262502950737,0.0,0.063422464
19,80117,-1.274277584017304,0.0,0.026722064
20,80118,-0.7355550225687775,0.0,0.017240822
21,80119,-0.12482978240220076,0.0,0.00088321965
22,80120,0.4981149089738551,0.038707335,0.0
23,80121,-0.7953673370366583,0.0,0.00524275
24,80122,5.817599904378415,0.1838407,0.0
25,80123,-0.5131524589185845,0.0,0.02938052
26,80124,1.2831727667025308,0.08347642,0.0
27,80125,2.4640294502442197,0.0,0.03469959
28,80126,1.1108602661721187,0.036846507,0.0
29,80127,0.5393616871869531,0.02153222,0.0
30,80128,0.7354965934058879,0.0005553922,0.0
31,80129,0.12476707237083946,0.0,0.00031680154
32,80130,-0.49817576127066376,0.010551755,0.0
33,80131,-1.0723527131325903,0.02481498,0.0
34,80132,-1.541558227777952,0.0023044415,0.0
35,80133,-1.8598622892759018,0.0,0.0104710385
36,80134,-1.9961064602946739,0.0,0.055833627
37,80135,-1.9369539475675626,0.0,0.07536322
38,80136,-1.6881951260303805,0.0,0.10537394
39,80137,-1.2741807253507242,0.01796384,0.0
40,80138,-0.7354381635306099,0.0016672815,0.0
41,80139,-0.12470436220181197,0.0006697437,0.0
42,80140,0.4982366130828295,0.0,0.01983199
43,80141,1.0724057498715078,0.0,0.0405323
44,80142,1.5415982577514267,0.015803095,0.0
45,80143,1.859885393978542,0.106164366,0.0
46,80144,1.9961103780365261,0.0,0.0003795403
47,80145,1.9369382948442015,0.0,0.026650958
48,80146,1.688161435076715,0.04079537,0.0
49,80147,1.2741322941282198,0.008428806,0.0
50,80148,0.7353797329159366,0.0,0.02289262
51,80149,0.12464165192422733,0.0,0.0056705223
52,80150,-0.49829746440324557,0.005584857,0.0
53,80151,-1.0724587855581238,0.012694895,0.0
54,80152,-1.5416382861941036,0.06300236,0.0
55,80153,-1.8599084968481876,0.053209152,0.0
56,80154,-1.9961142938087109,0.0,0.06856876
57,80155,-1.936922640212746,0.0,0.069607824
58,80156,-1.6881277424490644,0.0085886605,0.0
59,80157,-1.274083861648172,0.011072426,0.0
60,80158,-0.7353213015889907,0.0,0.0009161923
61,80159,-0.12457894150910022,0.0,0.0014867074
62,80160,0.4983583152318519,0.009781437,0.0
63,80161,1.0725118201862442,0.0,0.024550322
64,80162,1.5416783131152145,0.028665638,0.0
65,80163,1.8599315978767899,0.022899024,0.0
66,80164,1.9961182076107704,0.04818712,0.0
67,80165,1.9369069836677735,0.06386934,0.0
68,80166,1.6880940481630684,0.015689017,0.0
69,80167,1.2740354279106287,0.0,0.027496064
70,80168,0.7352628695295309,0.0,0.0087789195
71,80169,0.12451623098553982,0.0,0.001205869
72,80170,-0.49841916557563487,0.015094696,0.0
73,80171,-1.0725648537558168,0.0,0.0016212353
74,80172,-1.5417183385239894,0.05328606,0.0
75,80173,-1.8599546970750265,0.0036822374,0.0
76,80174,-1.9961221194427006,0.0,0.055556778
77,80175,-1.9368913252111122,0.011119345,0.0
78,80176,-1.6880603522109576,0.0,0.016572624
79,80177,-1.2739869929156376,0.001727451,0.0
80,80178,-0.7352044367443812,0.0014078257,0.0
81,80179,-0.1244535203390844,0.0,0.0049690846
82,80180,0.4984800154133952,0.0,0.0005597742
83,80181,1.0726178862667888,0.0,0.025346361
84,80182,1.5417583624064837,0.0,0.061094154
85,80183,1.8599777944321751,0.0,0.0113928495
86,80184,1.9961260293044978,0.02453898,0.0
87,80185,1.9368756648427774,0.17494437,0.0
88,80186,1.6880266545849605,0.09567108,0.0
89,80187,1.2739385566688557,0.060771182,0.0
90,80188,0.7351460032335992,0.034854565,0.0
91,80189,0.1243908095552721,0.004351241,0.0
92,80190,-0.4985408647591657,0.0032133113,0.0
93,80191,-1.0726709177191085,0.0071468735,0.0
94,80192,-1.5417983847672931,0.07713081,0.0
95,80193,-1.8600008899535627,0.0,1.0
