,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
50,80108,0.73561347,0.0,1.5455718e-07,0.73561347,5.432274e-08,0.0,0.73561347,7.618946e-08,0.0
51,80109,0.124892496,0.0,2.4588086e-08,0.124892496,0.0,1.7404357e-09,0.124892496,2.072067e-08,0.0
52,80110,-0.49805406,5.8898088e-08,0.0,-0.49805406,1.4721355e-08,0.0,-0.49805406,3.714292e-08,0.0
53,80111,-1.0722467,1.192473e-08,0.0,-1.0722467,0.0,3.204506e-07,-1.0722467,0.0,2.413902e-07
54,80112,-1.5414782,0.0,2.0186131e-07,-1.5414782,0.0,3.9210659e-07,-1.5414782,0.0,3.2849212e-07
55,80113,-1.8598161,0.0,6.925167e-07,-1.8598161,0.0,4.5587365e-07,-1.8598161,0.0,6.590579e-07
56,80114,-1.9960986,0.0,5.674551e-07,-1.9960986,0.0,3.3956408e-07,-1.9960986,0.0,2.0046413e-07
57,80115,-1.9369853,0.0,5.363695e-07,-1.9369853,0.0,4.506639e-07,-1.9369853,0.0,4.659267e-07
58,80116,-1.6882625,0.0,2.738361e-07,-1.6882625,0.0,4.8605483e-07,-1.6882625,0.0,7.6994303e-07
59,80117,-1.2742776,0.0,1.475678e-07,-1.2742776,0.0,4.2237417e-07,-1.2742776,0.0,3.2171752e-07
60,80118,-0.735555,6.444362e-08,0.0,-0.735555,0.0,1.4339186e-07,-0.735555,0.0,7.585425e-08
61,80119,-0.124829784,2.0328645e-08,0.0,-0.124829784,4.9956244e-09,0.0,-0.124829784,1.326946e-08,0.0
62,80120,0.4981149,0.0,7.870204e-08,0.4981149,0.0,6.309006e-08,0.4981149,0.0,5.2429282e-08
63,80121,1.0722997,0.0,7.9842245e-08,1.0722997,0.0,1.4742349e-07,1.0722997,0.0,1.11270424e-07
64,80122,1.5415182,0.0,1.688865e-07,1.5415182,0.0,6.6013826e-08,1.5415182,0.0,1.9061271e-07
65,80123,1.8598392,0.0,1.2114712e-07,1.8598392,0.0,1.2836445e-07,1.8598392,0.0,3.5363254e-07
66,80124,1.9961026,0.0,9.576782e-08,-3.0038974,0.0,9.228264e-07,1.9961026,4.2015918e-07,0.0
67,80125,1.9369696,0.0,5.7417633e-08,1.9369696,4.071416e-07,0.0,1.9369696,4.3086467e-07,0.0
68,80126,1.6882288,0.0,1.4653565e-07,1.6882288,0.0,2.826417e-07,1.6882288,0.0,2.9251783e-07
69,80127,1.2742292,0.0,5.8665815e-08,1.2742292,7.9753605e-08,0.0,1.2742292,0.0,4.980783e-08
70,80128,0.7354966,0.0,1.2805569e-07,0.7354966,1.1078044e-09,0.0,0.7354966,6.435795e-08,0.0
71,80129,0.12476707,0.0,1.0201534e-08,0.12476707,0.0,7.787531e-09,0.12476707,0.0,1.0147204e-08
72,80130,-0.49817577,1.3079047e-07,0.0,-0.49817577,4.2609425e-08,0.0,-0.49817577,1.6673575e-07,0.0
73,80131,-1.0723528,1.3548188e-07,0.0,-1.0723528,7.130954e-08,0.0,-1.0723528,6.031621e-08,0.0
74,80132,-1.5415583,0.0,1.5675234e-07,-1.5415583,1.1756243e-07,0.0,-1.5415583,0.0,1.1270573e-07
75,80133,-1.8598623,0.0,4.256103e-07,-1.8598623,0.0,3.4719002e-07,-1.8598623,0.0,2.942686e-07
76,80134,-1.9961065,0.0,3.912921e-07,-1.9961065,6.4454184e-08,0.0,-1.9961065,1.6204571e-07,0.0
77,80135,-1.9369539,0.0,4.651249e-07,-1.9369539,0.0,3.5423713e-07,-1.9369539,0.0,4.6779925e-07
78,80136,-1.6881951,0.0,1.6651062e-07,-1.6881951,0.0,2.2346116e-07,-1.6881951,0.0,1.6528296e-07
79,80137,-1.2741808,1.0425492e-08,0.0,-1.2741808,1.4888806e-07,0.0,-1.2741808,0.0,1.2892913e-07
80,80138,-0.73543817,3.5031466e-08,0.0,-0.73543817,3.4730753e-08,0.0,-0.73543817,5.323662e-08,0.0
