,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
0,80058,-0.7359056,0.015305199,0.0,-0.7359056,0.0,0.03391076,-0.7359056,0.0,0.0063308366
1,80059,-0.12520604,0.0,0.006017623,-0.12520604,0.0,0.0060122637,-0.12520604,0.0,0.00574924
2,80060,0.49774978,0.0043040887,0.0,0.49774978,0.032127928,0.0,0.49774978,0.003345614,0.0
3,80061,1.0719814,0.0,0.036790792,1.0719814,0.041043855,0.0,1.0719814,0.0,0.0038060036
4,80062,1.541278,0.0,0.024075603,1.541278,0.03315786,0.0,1.541278,0.03708295,0.0
5,80063,1.8597006,0.0,0.04220259,1.8597006,0.007996863,0.0,1.8597006,0.0,0.034429
6,80064,1.996079,0.0027083694,0.0,-3.003921,0.0,0.05902743,1.996079,0.0,0.0023063393
7,80065,1.9370635,0.0,0.025704725,1.9370635,0.06465014,0.0,1.9370635,0.076259114,0.0
8,80066,1.6884309,0.0,0.011238747,1.6884309,0.03172602,0.0,1.6884309,0.026159864,0.0
9,80067,1.2745197,0.0,0.017981695,1.2745197,0.07192475,0.0,1.2745197,0.0,0.021250097
10,80068,0.7358472,0.017503634,0.0,0.7358472,0.031219853,0.0,0.7358472,0.0,0.0068526478
11,80069,0.12514333,0.001250826,0.0,0.12514333,0.0046872906,0.0,0.12514333,0.0023424835,0.0
12,80070,-0.49781063,0.0,0.009153081,-0.49781063,0.0,0.010289344,-0.49781063,0.0,0.015619951
13,80071,-1.0720345,0.03989748,0.0,-1.0720345,0.00939824,0.0,-1.0720345,0.0,0.008957153
14,80072,-1.541318,0.0679699,0.0,-1.541318,0.0,0.0029687716,-1.541318,0.030713234,0.0
15,80073,-1.8597236,0.0,0.00018474458,-1.8597236,0.002187975,0.0,-1.8597236,0.03717239,0.0
16,80074,-1.9960829,0.037728395,0.0,-1.9960829,0.0,0.046102285,-1.9960829,0.0,0.003520755
17,80075,-1.9370478,0.0,0.02755159,-1.9370478,0.020047285,0.0,-1.9370478,0.0,0.016645502
18,80076,-1.6883973,0.0,0.059580453,-1.6883973,0.02936089,0.0,-1.6883973,0.00807003,0.0
19,80077,-1.2744713,0.0,0.09172406,-1.2744713,0.023242464,0.0,-1.2744713,0.0,0.027310807
20,80078,-0.7357887,0.0011432336,0.0,-0.7357887,0.0,0.02173553,-0.7357887,0.0062257377,0.0
21,80079,-0.12508062,0.0,0.005697396,-0.12508062,0.0,0.0023391277,-0.12508062,0.0,0.0022699847
22,80080,0.4978715,0.0,0.014963064,0.4978715,0.014295177,0.0,0.4978715,0.014915328,0.0
23,80081,1.0720875,0.0,0.024271319,1.0720875,0.009960871,0.0,1.0720875,0.0057198005,0.0
24,80082,1.5413581,0.0,0.019782275,1.5413581,0.0,0.010723833,1.5413581,0.010523793,0.0
25,80083,1.8597467,0.0,0.02457507,1.8597467,0.025109505,0.0,1.8597467,0.0,0.046711117
26,80084,1.9960868,0.0,0.014892669,1.9960868,0.005676417,0.0,1.9960868,0.0,0.036803108
27,80085,1.9370322,0.0,0.0013465988,1.9370322,0.0875765,0.0,1.9370322,0.10374161,0.0
28,80086,1.6883636,0.0,0.014741726,1.6883636,0.03023536,0.0,1.6883636,0.022566607,0.0
29,80087,1.2744229,1.0,0.0,1.2744229,0.0,0.13554174,1.2744229,0.010930195,0.0
30,80088,0.7357303,0.009713491,0.0,0.7357303,0.0111777205,0.0,0.7357303,0.0,0.0047260425
31,80089,0.12501791,0.0031855362,0.0,0.12501791,0.002657143,0.0,0.12501791,0.0041513355,0.0
32,80090,-0.49793234,0.0,0.005937358,-0.49793234,0.0,0.0047212923,-0.49793234,0.0019352935,0.0
33,80091,-1.0721406,0.04763822,0.0,-1.0721406,0.0,0.009814605,-1.0721406,0.0,0.0042685126
34,80092,-1.541398,0.06433081,0.0,-1.541398,0.019264873,0.0,-1.541398,0.0,0.005542497
35,80093,-1.8597698,0.0074249087,0.0,-1.8597698,0.04471367,0.0,-1.8597698,0.067903586,0.0
36,80094,-1.9960908,0.02915068,0.0,-1.9960908,0.08816506,0.0,-1.9960908,0.018941116,0.0
37,80095,-1.9370165,0.0,0.027894367,-1.9370165,0.02971679,0.0,-1.9370165,0.0,0.01965228
38,80096,-1.6883298,0.0,0.051020753,-1.6883298,0.028176308,0.0,-1.6883298,0.0,0.007815062
39,80097,-1.2743745,0.0,0.0405153,-1.2743745,0.0156018995,0.0,-1.2743745,0.0,0.4038464
40,80098,-0.7356719,0.0,0.03076558,-0.7356719,0.0,0.01692968,-0.7356719,0.0,0.008710697
41,80099,-0.1249552,0.0,0.004460405,-0.1249552,0.0,0.0033000044,-0.1249552,0.0,0.0060844664
42,80100,0.4979932,0.0035133269,0.0,0.4979932,0.0,0.003977659,0.4979932,0.029467138,0.0
43,80101,-3.3175178,0.068082444,0.0,1.0721936,0.018698225,0.0,1.0721936,0.0030657537,0.0
44,80102,2.4533055,0.0,0.0041399207,1.5414381,0.05184127,0.0,1.5414381,0.0,0.0043412647
45,80103,3.7805083,0.038538102,0.0,1.859793,0.0,0.051642932,1.859793,0.0,0.05536445
46,80104,1.0749108,9.9323144e-05,0.0,1.9960947,0.0,0.02076901,1.9960947,0.0,0.025820537
47,80105,-0.78283393,0.0,0.005634458,1.9370009,0.10167557,0.0,1.9370009,0.073133394,0.0
48,80106,5.086924,0.064799696,0.0,1.6882962,0.043107104,0.0,1.6882962,0.081139214,0.0
49,80107,3.6084764,0.09653375,0.0,1.274326,0.003591364,0.0,1.274326,0.04634065,0.0
50,80108,0.73561347,0.01637062,0.0,0.73561347,0.041785575,0.0,0.73561347,0.0,0.0017944061
51,80109,0.124892496,0.0037295402,0.0,0.124892496,0.0052988506,0.0,0.124892496,0.00019190034,0.0
52,80110,-0.49805406,0.0,0.012323582,-0.49805406,0.0,0.010617152,-0.49805406,0.0,0.010769894
53,80111,-1.0722467,0.06439747,0.0,-1.0722467,0.0,0.0032447886,-1.0722467,0.0,0.028223561
54,80112,-1.5414782,0.012225053,0.0,-1.5414782,0.0,0.010656976,-1.5414782,0.0,0.044933572
55,80113,-1.8598161,0.032190375,0.0,-1.8598161,0.0,0.0011965315,-1.8598161,0.0,0.005936544
56,80114,-1.9960986,0.031637855,0.0,-1.9960986,0.02876627,0.0,-1.9960986,0.1364961,0.0
57,80115,-1.9369853,0.0,0.12346134,-1.9369853,0.0,0.02829453,-1.9369853,0.0,0.006269603
58,80116,-1.6882625,0.0,0.03757019,-1.6882625,0.0,0.009884832,-1.6882625,0.0,0.005640458
59,80117,-1.2742776,0.0,0.010899093,-1.2742776,0.0,0.05146686,-1.2742776,0.0,0.025629645
60,80118,-0.735555,0.0063956357,0.0,-0.735555,0.0,0.0072207535,-0.735555,0.0,0.0018649867
61,80119,-0.124829784,0.0,0.00041826454,-0.124829784,0.0,0.0061077494,-0.124829784,0.0,0.010005263
62,80120,0.4981149,0.0,0.02109121,0.4981149,0.01967042,0.0,0.4981149,0.001296522,0.0
63,80121,1.0722997,0.0,0.02367918,1.0722997,0.0,0.027835215,1.0722997,0.0,0.060921
64,80122,1.5415182,0.0,0.013469266,1.5415182,0.0,0.045976356,1.5415182,0.0013844118,0.0
65,80123,1.8598392,0.0,0.017403888,1.8598392,0.0,0.14141461,1.8598392,0.0,0.09521093
66,80124,1.9961026,0.0,0.015584259,-3.0038974,0.07102635,0.0,1.9961026,0.0,0.0128494585
67,80125,1.9369696,0.0,0.025256673,1.9369696,0.1172263,0.0,1.9369696,0.12414776,0.0
68,80126,1.6882288,0.0,0.011190881,1.6882288,0.09195627,0.0,1.6882288,0.06192278,0.0
69,80127,1.2742292,0.0,0.022202304,1.2742292,0.04649844,0.0,1.2742292,0.020003725,0.0
70,80128,0.7354966,0.0,0.009142521,0.7354966,0.064575374,0.0,0.7354966,0.05271388,0.0
71,80129,0.12476707,0.0,0.0007603774,0.12476707,0.0050059776,0.0,0.12476707,0.005984802,0.0
72,80130,-0.49817577,0.0,0.00014146302,-0.49817577,0.0015004233,0.0,-0.49817577,0.028949648,0.0
73,80131,-1.0723528,0.022815783,0.0,-1.0723528,0.0,0.0024303657,-1.0723528,0.0,0.009484346
74,80132,-1.5415583,0.054741714,0.0,-1.5415583,0.03412845,0.0,-1.5415583,0.0,0.032462243
75,80133,-1.8598623,0.03870588,0.0,-1.8598623,0.011304368,0.0,-1.8598623,0.09530024,0.0
76,80134,-1.9961065,0.048084956,0.0,-1.9961065,0.017150342,0.0,-1.9961065,0.020586755,0.0
77,80135,-1.9369539,0.013232592,0.0,-1.9369539,0.035005994,0.0,-1.9369539,0.010293082,0.0
78,80136,-1.6881951,0.0,0.003733267,-1.6881951,0.0,0.06348777,-1.6881951,0.015791109,0.0
79,80137,-1.2741808,0.0,0.02265046,-1.2741808,0.0,0.045638435,-1.2741808,0.0,0.013133996
80,80138,-0.73543817,0.00338188,0.0,-0.73543817,0.0,0.00976874,-0.73543817,0.0,0.020867737
81,80139,-0.12470436,0.09746925,0.0,-0.12470436,0.018366633,0.0,-0.12470436,0.0011661375,0.0
82,80140,0.49823663,0.0,0.010137846,0.49823663,0.0,0.022185996,0.49823663,0.0,0.0066844197
