,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,0.24714378
1,80099,-0.1249552021170332,0.0,0.008528186
2,80100,0.4979932028913158,0.024228865,0.0
3,80101,1.072193596541135,0.0,0.099184245
4,80102,1.5414381287473036,0.017043779,0.0
5,80103,1.8597929641568645,0.0,0.058158092
6,80104,1.9960946952466119,0.0,9.5357354e-05
7,80105,1.937000894259923,0.03475056,0.0
8,80106,1.688296188905658,0.024146102,0.0
9,80107,1.2743260114724995,0.0,0.088507816
10,80108,0.7356134509921568,0.0,0.036799844
11,80109,0.12489249231761931,0.018152082,0.0
12,80110,-0.4980540561713235,0.06695346,0.0
13,80111,-1.0722466364673517,0.20962785,0.0
14,80112,-1.5414781632804864,0.19033149,0.0
15,80113,-1.859816074363702,0.0,0.110761166
16,80114,-1.9960986188997132,0.0,0.26246664
17,80115,-1.9369852472754385,0.0,0.5825174
18,80116,-1.688262502950737,0.0,1.0
19,80117,-1.274277584017304,0.0,0.5478019
20,80118,-0.7355550225687775,0.0,0.243746
21,80119,-0.12482978240220076,0.0,0.0016750509
22,80120,0.4981149089738551,0.020273333,0.0
23,80121,-0.7953673370366583,0.045788623,0.0
24,80122,5.817599904378415,0.0,0.22231399
25,80123,-0.5131524589185845,0.0,0.0061298585
26,80124,1.2831727667025308,0.013835813,0.0
27,80125,2.4640294502442197,0.0,0.0008986981
28,80126,1.1108602661721187,0.0,0.036552455
29,80127,0.5393616871869531,0.0,0.022937043
30,80128,0.7354965934058879,0.046684623,0.0
31,80129,0.12476707237083946,0.01909396,0.0
32,80130,-0.49817576127066376,0.0027626646,0.0
33,80131,-1.0723527131325903,0.0670785,0.0
34,80132,-1.541558227777952,0.17655775,0.0
35,80133,-1.8598622892759018,0.005865377,0.0
36,80134,-1.9961064602946739,0.0,0.43256524
37,80135,-1.9369539475675626,0.0,0.6521472
38,80136,-1.6881951260303805,0.0,0.7397203
39,80137,-1.2741807253507242,0.0,0.4928041
40,80138,-0.7354381635306099,0.0,0.11060554
41,80139,-0.12470436220181197,0.0,0.019935085
42,80140,0.4982366130828295,0.0,0.018522717
43,80141,1.0724057498715078,0.0,0.041305028
44,80142,1.5415982577514267,2.338954e-05,0.0
45,80143,1.859885393978542,0.0,0.046337377
46,80144,1.9961103780365261,0.0,0.00037513225
47,80145,1.9369382948442015,0.0,0.008498499
48,80146,1.688161435076715,0.0,0.07008406
49,80147,1.2741322941282198,0.0,0.07207667
50,80148,0.7353797329159366,0.022124706,0.0
51,80149,0.12464165192422733,0.0,0.0024001268
52,80150,-0.49829746440324557,0.031140475,0.0
53,80151,-1.0724587855581238,0.14201589,0.0
54,80152,-1.5416382861941036,0.074861825,0.0
55,80153,-1.8599084968481876,0.0,0.101682425
56,80154,-1.9961142938087109,0.0,0.425274
57,80155,-1.936922640212746,0.0,0.8582207
58,80156,-1.6881277424490644,0.0,0.7786873
59,80157,-1.274083861648172,0.0,0.5177203
60,80158,-0.7353213015889907,0.0,0.2636136
61,80159,-0.12457894150910022,0.0,0.024033653
62,80160,0.4983583152318519,0.0,0.022633879
63,80161,1.0725118201862442,0.007972235,0.0
64,80162,1.5416783131152145,0.0,0.07240322
65,80163,1.8599315978767899,0.0,0.06689768
66,80164,1.9961182076107704,0.0,0.014008535
67,80165,1.9369069836677735,0.0,0.1585442
68,80166,1.6880940481630684,0.0,0.072300665
69,80167,1.2740354279106287,0.02556027,0.0
70,80168,0.7352628695295309,0.040208418,0.0
71,80169,0.12451623098553982,0.018998604,0.0
72,80170,-0.49841916557563487,0.082382455,0.0
73,80171,-1.0725648537558168,0.008014516,0.0
74,80172,-1.5417183385239894,0.15825184,0.0
75,80173,-1.8599546970750265,0.0,0.15321139
76,80174,-1.9961221194427006,0.0,0.43195984
77,80175,-1.9368913252111122,0.0,0.5695668
78,80176,-1.6880603522109576,0.0,0.8408918
79,80177,-1.2739869929156376,0.0,0.4939952
80,80178,-0.7352044367443812,0.0,0.23579985
81,80179,-0.1244535203390844,0.0,0.017790444
82,80180,0.4984800154133952,0.0,0.061916612
83,80181,1.0726178862667888,0.01505027,0.0
84,80182,1.5417583624064837,0.0,0.07122385
85,80183,1.8599777944321751,0.11930285,0.0
86,80184,1.9961260293044978,0.08100967,0.0
87,80185,1.9368756648427774,0.083732754,0.0
88,80186,1.6880266545849605,0.0,0.034670494
89,80187,1.2739385566688557,0.032079656,0.0
90,80188,0.7351460032335992,0.04655688,0.0
91,80189,0.1243908095552721,0.0058176983,0.0
92,80190,-0.4985408647591657,0.04456517,0.0
93,80191,-1.0726709177191085,0.032616712,0.0
94,80192,-1.5417983847672931,0.0,0.21658175
95,80193,-1.8600008899535627,0.0,0.8090811
