,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.327752,0.0
1,80099,-0.1249552021170332,0.3105983,0.0
2,80100,0.4979932028913158,0.09711828,0.0
3,80101,1.072193596541135,0.08157393,0.0
4,80102,1.5414381287473036,0.69417816,0.0
5,80103,1.8597929641568645,0.39313623,0.0
6,80104,1.9960946952466119,0.28383607,0.0
7,80105,1.937000894259923,0.48259813,0.0
8,80106,1.688296188905658,0.3954075,0.0
9,80107,1.2743260114724995,0.4716751,0.0
10,80108,0.7356134509921568,0.09149075,0.0
11,80109,0.12489249231761931,0.0,0.00435093
12,80110,-0.4980540561713235,0.36721835,0.0
13,80111,-1.0722466364673517,0.36620474,0.0
14,80112,-1.5414781632804864,0.41698647,0.0
15,80113,-1.859816074363702,0.18789004,0.0
16,80114,-1.9960986188997132,0.1616981,0.0
17,80115,-1.9369852472754385,0.12319292,0.0
18,80116,-1.688262502950737,0.1049857,0.0
19,80117,-1.274277584017304,0.50023043,0.0
20,80118,-0.7355550225687775,0.40232274,0.0
21,80119,-0.12482978240220076,0.31214505,0.0
22,80120,0.4981149089738551,0.040854964,0.0
23,80121,-0.7953673370366583,0.33651203,0.0
24,80122,5.817599904378415,0.6464269,0.0
25,80123,-0.5131524589185845,0.34716815,0.0
26,80124,1.2831727667025308,0.53536737,0.0
27,80125,2.4640294502442197,0.77455217,0.0
28,80126,1.1108602661721187,0.0,0.03455623
29,80127,0.5393616871869531,0.02581789,0.0
30,80128,0.7354965934058879,0.043802533,0.0
31,80129,0.12476707237083946,0.0005033447,0.0
32,80130,-0.49817576127066376,0.38919052,0.0
33,80131,-1.0723527131325903,0.37455934,0.0
34,80132,-1.541558227777952,0.3935366,0.0
35,80133,-1.8598622892759018,0.24044938,0.0
36,80134,-1.9961064602946739,0.33482558,0.0
37,80135,-1.9369539475675626,0.26414052,0.0
38,80136,-1.6881951260303805,0.11032831,0.0
39,80137,-1.2741807253507242,0.35920593,0.0
40,80138,-0.7354381635306099,0.4067711,0.0
41,80139,-0.12470436220181197,0.3208227,0.0
42,80140,0.4982366130828295,0.0,0.06704367
43,80141,1.0724057498715078,0.0,0.13365741
44,80142,1.5415982577514267,0.44237348,0.0
45,80143,1.859885393978542,0.62276417,0.0
46,80144,1.9961103780365261,0.57624817,0.0
47,80145,1.9369382948442015,0.60853195,0.0
48,80146,1.688161435076715,0.5681543,0.0
49,80147,1.2741322941282198,0.5711247,0.0
50,80148,0.7353797329159366,0.03032721,0.0
51,80149,0.12464165192422733,0.006333831,0.0
52,80150,-0.49829746440324557,0.29668847,0.0
53,80151,-1.0724587855581238,0.39640567,0.0
54,80152,-1.5416382861941036,0.40082192,0.0
55,80153,-1.8599084968481876,0.21794549,0.0
56,80154,-1.9961142938087109,0.12953669,0.0
57,80155,-1.936922640212746,0.13088624,0.0
58,80156,-1.6881277424490644,0.39448878,0.0
59,80157,-1.274083861648172,0.34626976,0.0
60,80158,-0.7353213015889907,0.4075686,0.0
61,80159,-0.12457894150910022,0.33203802,0.0
62,80160,0.4983583152318519,0.0024788573,0.0
63,80161,1.0725118201862442,0.0,0.14362133
64,80162,1.5416783131152145,0.49396285,0.0
65,80163,1.8599315978767899,0.6582049,0.0
66,80164,1.9961182076107704,0.50932366,0.0
67,80165,1.9369069836677735,0.6253825,0.0
68,80166,1.6880940481630684,0.5814493,0.0
69,80167,1.2740354279106287,0.4540356,0.0
70,80168,0.7352628695295309,0.0,0.045845468
71,80169,0.12451623098553982,0.0,0.03085503
72,80170,-0.49841916557563487,0.40254277,0.0
73,80171,-1.0725648537558168,0.49190447,0.0
74,80172,-1.5417183385239894,0.3147973,0.0
75,80173,-1.8599546970750265,0.15084133,0.0
76,80174,-1.9961221194427006,0.0,0.02276688
77,80175,-1.9368913252111122,0.2080513,0.0
78,80176,-1.6880603522109576,0.3233253,0.0
79,80177,-1.2739869929156376,0.3679124,0.0
80,80178,-0.7352044367443812,0.4430731,0.0
81,80179,-0.1244535203390844,0.32576147,0.0
82,80180,0.4984800154133952,0.0,0.08686668
83,80181,1.0726178862667888,0.0,0.18843979
84,80182,1.5417583624064837,0.5534282,0.0
85,80183,1.8599777944321751,0.68074256,0.0
86,80184,1.9961260293044978,0.58178174,0.0
87,80185,1.9368756648427774,1.0,0.0
88,80186,1.6880266545849605,0.87677455,0.0
89,80187,1.2739385566688557,0.6461152,0.0
90,80188,0.7351460032335992,0.031596657,0.0
91,80189,0.1243908095552721,0.0,0.018251095
92,80190,-0.4985408647591657,0.40420288,0.0
93,80191,-1.0726709177191085,0.43842432,0.0
94,80192,-1.5417983847672931,0.10567768,0.0
95,80193,-1.8600008899535627,0.0,0.16132936
