,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,3.8580743970542615e-07
1,80099,-0.1249552021170332,0.0,2.653760222672877e-08
2,80100,0.4979932028913158,1.2535797577858975e-08,0.0
3,80101,1.072193596541135,1.0828355609142184e-07,0.0
4,80102,1.5414381287473036,0.0,3.0602561536533465e-07
5,80103,1.8597929641568645,5.412093614894868e-07,0.0
6,80104,1.9960946952466119,0.0,1.201719855577562e-07
7,80105,1.937000894259923,0.0,4.073635756121578e-07
8,80106,1.688296188905658,0.0,4.1402093753631434e-08
9,80107,1.2743260114724995,2.223142220080518e-08,0.0
10,80108,0.7356134509921568,0.0,5.746741603850923e-08
11,80109,0.12489249231761931,1.0205209004680002e-08,0.0
12,80110,-0.4980540561713235,9.47661328111988e-08,0.0
13,80111,-1.0722466364673517,0.0,4.424353539521375e-07
14,80112,-1.5414781632804864,0.0,1.1515683327308696e-06
15,80113,-1.859816074363702,0.0,1.4279587185771582e-06
16,80114,-1.9960986188997132,0.0,1.5547410474885784e-06
17,80115,-1.9369852472754385,0.0,1.771068469886927e-06
18,80116,-1.688262502950737,0.0,8.995789348660077e-07
19,80117,-1.274277584017304,0.0,3.447438781123731e-07
20,80118,-0.7355550225687775,0.0,1.0433854567901714e-07
21,80119,-0.12482978240220076,2.885868828544908e-08,0.0
22,80120,0.4981149089738551,0.0,6.474751446546844e-08
23,80121,-0.7953673370366583,9.966228262694341e-08,0.0
24,80122,5.817599904378415,0.0,8.65975078611386e-07
25,80123,-0.5131524589185845,2.0494363691698293e-08,0.0
26,80124,1.2831727667025308,0.0,4.107676452898653e-08
27,80125,2.4640294502442197,3.9818938911031117e-07,0.0
28,80126,1.1108602661721187,0.0,1.4289984466658632e-07
29,80127,0.5393616871869531,0.0,1.6854784391941218e-08
30,80128,0.7354965934058879,0.0,9.284287934875301e-08
31,80129,0.12476707237083946,0.0,3.4837082120039606e-08
32,80130,-0.49817576127066376,0.0,8.727314571798233e-08
33,80131,-1.0723527131325903,0.0,8.540827591953583e-07
34,80132,-1.541558227777952,0.0,1.397038718082686e-06
35,80133,-1.8598622892759018,0.0,9.521019598874142e-07
36,80134,-1.9961064602946739,0.0,1.7436809937749357e-06
37,80135,-1.9369539475675626,0.0,1.1348968960873836e-06
38,80136,-1.6881951260303805,0.0,8.171860811153975e-08
39,80137,-1.2741807253507242,0.0,1.6334709301557318e-07
40,80138,-0.7354381635306099,1.174611764644975e-07,0.0
41,80139,-0.12470436220181197,0.0,3.371961242465377e-08
42,80140,0.4982366130828295,1.5230883209251008e-08,0.0
43,80141,1.0724057498715078,2.3192974327806783e-08,0.0
44,80142,1.5415982577514267,0.0,1.5942431573752674e-07
45,80143,1.859885393978542,7.340230398048946e-08,0.0
46,80144,1.9961103780365261,5.22356081028079e-07,0.0
47,80145,1.9369382948442015,0.0,1.6524450308622292e-07
48,80146,1.688161435076715,0.0,3.981945510258901e-07
49,80147,1.2741322941282198,0.0,4.4811885768289475e-07
50,80148,0.7353797329159366,0.0,1.0801274752268616e-07
51,80149,0.12464165192422733,0.0,1.3062719682326417e-08
52,80150,-0.49829746440324557,0.0,9.337496462664097e-08
53,80151,-1.0724587855581238,0.0,6.502238372490833e-07
54,80152,-1.5416382861941036,0.0,8.62501751316571e-07
55,80153,-1.8599084968481876,0.0,1.4895958715340245e-06
56,80154,-1.9961142938087109,0.0,1.8418006541876237e-06
57,80155,-1.936922640212746,0.0,1.4928988855409373e-06
58,80156,-1.6881277424490644,0.0,1.7076643494677544e-07
59,80157,-1.274083861648172,1.3200494027467965e-07,0.0
60,80158,-0.7353213015889907,0.0,4.389822350075171e-08
61,80159,-0.12457894150910022,2.4050170035922434e-08,0.0
62,80160,0.4983583152318519,0.0,1.1029474643977302e-07
63,80161,1.0725118201862442,6.026811250926299e-08,0.0
64,80162,1.5416783131152145,1.8170765938709796e-07,0.0
65,80163,1.8599315978767899,0.0,6.045468823131228e-07
66,80164,1.9961182076107704,0.0,3.219717222654265e-07
67,80165,1.9369069836677735,0.0,1.9322881054559625e-07
68,80166,1.6880940481630684,0.0,3.856104257586896e-07
69,80167,1.2740354279106287,0.0,2.7617960767170775e-07
70,80168,0.7352628695295309,0.0,2.565179288408305e-07
71,80169,0.12451623098553982,9.899203086962623e-09,0.0
72,80170,-0.49841916557563487,4.903629852776915e-08,0.0
73,80171,-1.0725648537558168,0.0,5.16540830966077e-07
74,80172,-1.5417183385239894,0.0,1.2552200332327145e-06
75,80173,-1.8599546970750265,0.0,1.9469941853752027e-06
76,80174,-1.9961221194427006,0.0,2.5920411309388427e-06
77,80175,-1.9368913252111122,0.0,5.935222643690338e-07
78,80176,-1.6880603522109576,0.0,3.564800916786951e-07
79,80177,-1.2739869929156376,0.0,1.5039929408923484e-07
80,80178,-0.7352044367443812,3.120628329494128e-07,0.0
81,80179,-0.1244535203390844,0.09769387226348995,0.0
82,80180,0.4984800154133952,0.0,1.1893812152021188e-07
83,80181,1.0726178862667888,0.0,9.155697594727701e-08
84,80182,1.5417583624064837,1.5613498926089843e-07,0.0
85,80183,1.8599777944321751,0.0,1.335814203159699e-07
86,80184,1.9961260293044978,0.0,9.998531083368976e-08
87,80185,1.9368756648427774,4.887932295621853e-07,0.0
88,80186,1.6880266545849605,5.562022734153241e-08,0.0
89,80187,1.2739385566688557,1.0,0.0
90,80188,0.7351460032335992,0.0,2.2125273353709974e-07
91,80189,0.1243908095552721,0.0,4.264494974842256e-08
92,80190,-0.4985408647591657,4.1762275962240326e-08,0.0
93,80191,-1.0726709177191085,0.0,2.0396414618278247e-07
94,80192,-1.5417983847672931,0.0,1.8942782963131117e-06
95,80193,-1.8600008899535627,0.0,2.664089728472685e-06
