,ds,y,pos_attr,neg_attr,raw_pos_attr,raw_neg_attr
80,80080,0.4978714948427389,0.0,0.062711984,0.0,0.06523263
81,80081,1.0720875135324783,0.0,0.29313016,0.0,0.3049122
82,80082,1.5413580551168704,0.0,0.12744527,0.0,0.1325678
83,80083,1.8597467382311237,0.0,0.7854404,0.0,0.8170103
84,80084,-3.0039131579685416,1.0,0.0,1.0401939,0.0
85,80085,1.9370321824971566,0.0,0.694736,0.0,0.7226602
86,80086,1.6883635558243237,0.43756193,0.0,0.45514926,0.0
87,80087,1.2744228625928156,0.0,0.28213328,0.0,0.29347333
88,80088,0.7357303056742821,0.055891607,0.0,0.05813811,0.0
89,80089,0.12501791177859528,0.0,0.0004999987,0.0,0.0005200956
90,80090,-0.4979323491057052,0.033910368,0.0,0.03527336,0.0
91,80091,-1.0721405555689685,0.0,0.08473174,0.0,0.08813744
92,80092,-1.5413980926927517,0.0,0.7657649,0.0,0.79654396
93,80093,-1.8597698521090955,0.0,0.25476357,0.0,0.26500353
94,80094,-1.9960907696243133,0.0,0.30520126,0.0,0.3174685
95,80095,-1.9370165393344383,0.22497842,0.0,0.23402119,0.0
